"Alue","Tulonsaajia","Tulot","Mediaanitulot","Ansiotulot","Pääomatulot","Verot","Valtionvero","Kunnallisvero","Tulot_miinus_verot"
"Ulvila",10975,28193,24432,26721,1472,5957,1251,4008,22236
"Urjala",4219,24607,20197,22451,2156,4713,1053,3085,19894
"Utajärvi",2392,23198,18671,21549,1648,4125,854,2708,19072
"Utsjoki",1102,26689,22916,24419,2269,5291,1337,3363,21398
"Uurainen",2797,26615,22691,24899,1716,5038,1086,3330,21577
"Uusikaarlepyy",6280,27046,23230,24128,2918,5338,1343,3324,21708
"Uusikaupunki",13515,28552,25111,26593,1959,5870,1300,3900,22682
"Vaala",2663,23169,19471,21419,1749,4290,845,2896,18879
"Vaasa",56987,28829,23978,27191,1637,6101,1512,3925,22728
"Valkeakoski",17645,28536,24820,27189,1347,5853,1273,3886,22684
"Valtimo",1967,22410,18345,20638,1772,3886,783,2581,18524
"Vantaa",184265,32060,27757,30506,1554,6917,1877,4374,25143
"Varkaus",18538,26102,22027,24982,1120,5317,1008,3705,20786
"Vehmaa",1996,25974,22695,24075,1900,5033,981,3444,20941
"Vesanto",1920,22317,18168,20244,2072,3828,833,2484,18489
"Vesilahti",3475,30186,25328,28097,2089,6509,1641,4149,23677
"Veteli",2797,24516,21295,22719,1797,4689,888,3176,19827
"Vieremä",3157,25531,20182,22198,3332,4873,1381,2903,20658
"Vihti",23442,33221,28424,31417,1804,7494,1995,4736,25727
"Viitasaari",5785,23452,19739,21706,1746,4184,821,2833,19268
"Vimpeli",2566,24610,21172,23032,1578,4859,873,3372,19751
"Virolahti",2797,24752,20840,22983,1769,4442,933,2935,20311
"Virrat",6079,24364,20088,22111,2252,4532,1058,2915,19832
"Vårdö",392,28214,24884,25990,2224,4910,1260,3065,23303
"Vöyri",5616,26499,23171,24056,2443,5143,1180,3279,21356
"Ylitornio",3804,24015,19629,22463,1551,4061,850,2677,19954
"Ylivieska",12048,27112,24022,25169,1943,5589,1166,3730,21523
"Ylöjärvi",25508,31218,26606,28979,2239,6827,1770,4320,24390
"Ypäjä",2049,25689,21516,23655,2034,5021,1100,3293,20668
"Ähtäri",5143,24514,21065,22890,1624,4797,874,3317,19717
"Äänekoski",16736,26294,22164,24596,1698,5366,1125,3642,20928
